0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
0-24,69.6000,22.4500,70.0000,22.7500,69.8067,22.5747
24-48,69.6000,22.3500,70.1000,22.7500,69.8085,22.5674
48-72,69.6000,22.3500,70.1000,22.7500,69.8159,22.5650
72-75,69.6000,22.3500,70.1000,22.7500,69.8178,22.5645
